Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level,Temperature_Band,Temperature_x_Humidity,CO2_sum,co2_ratio,MetalOxideSensor_sum,avg_metal_oxide,mos_variance,time_index,is_daytime,hvac_active,Session_ID_Bands,Temperature_session_lag1,Temperature_session_lag2,Temperature_session_lag3,Temperature_session_roll_mean_3,Temperature_session_roll_std_3,Temperature_session_roll_mean_5,Temperature_session_roll_std_5,Temperature_session_roll_mean_10,Temperature_session_roll_std_10,Humidity_session_lag1,Humidity_session_lag2,Humidity_session_lag3,Humidity_session_roll_mean_3,Humidity_session_roll_std_3,Humidity_session_roll_mean_5,Humidity_session_roll_std_5,Humidity_session_roll_mean_10,Humidity_session_roll_std_10,CO2_InfraredSensor_session_lag1,CO2_InfraredSensor_session_lag2,CO2_InfraredSensor_session_lag3,CO2_InfraredSensor_session_roll_mean_3,CO2_InfraredSensor_session_roll_std_3,CO2_InfraredSensor_session_roll_mean_5,CO2_InfraredSensor_session_roll_std_5,CO2_InfraredSensor_session_roll_mean_10,CO2_InfraredSensor_session_roll_std_10,MetalOxideSensor_Unit1_session_lag1,MetalOxideSensor_Unit1_session_lag2,MetalOxideSensor_Unit1_session_lag3,MetalOxideSensor_Unit1_session_roll_mean_3,MetalOxideSensor_Unit1_session_roll_std_3,MetalOxideSensor_Unit1_session_roll_mean_5,MetalOxideSensor_Unit1_session_roll_std_5,MetalOxideSensor_Unit1_session_roll_mean_10,MetalOxideSensor_Unit1_session_roll_std_10,MetalOxideSensor_Unit2_session_lag1,MetalOxideSensor_Unit2_session_lag2,MetalOxideSensor_Unit2_session_lag3,MetalOxideSensor_Unit2_session_roll_mean_3,MetalOxideSensor_Unit2_session_roll_std_3,MetalOxideSensor_Unit2_session_roll_mean_5,MetalOxideSensor_Unit2_session_roll_std_5,MetalOxideSensor_Unit2_session_roll_mean_10,MetalOxideSensor_Unit2_session_roll_std_10,avg_metal_oxide_session_lag1,avg_metal_oxide_session_lag2,avg_metal_oxide_session_lag3,avg_metal_oxide_session_roll_mean_3,avg_metal_oxide_session_roll_std_3,avg_metal_oxide_session_roll_mean_5,avg_metal_oxide_session_roll_std_5,avg_metal_oxide_session_roll_mean_10,avg_metal_oxide_session_roll_std_10,co2_ratio_session_lag1,co2_ratio_session_lag2,co2_ratio_session_lag3,co2_ratio_session_roll_mean_3,co2_ratio_session_roll_std_3,co2_ratio_session_roll_mean_5,co2_ratio_session_roll_std_5,co2_ratio_session_roll_mean_10,co2_ratio_session_roll_std_10,HVAC_prev_session,HVAC_changed_session,time_since_last_change_session
afternoon,16.04,45.19,518.1800000000001,619.46,593.08,788.65,760.39,717.81,extremely low,1374,eco_mode,very_bright,Low Activity,16-18,724.8475999999999,1137.64,0.8365027591184213,2859.93,714.9825,86.32681289726845,1031,1,1,1000-2000,16.56,16.17,17.29,16.673333333333336,0.56853613195056,17.536,1.4039337591211298,18.755000000000003,2.5613505552084552,47.32,48.19,47.5,47.669999999999995,0.4592385001282236,47.775999999999996,0.5563542037227887,47.301,1.14210770070077,525.12,531.4,525.87,527.4633333333333,3.429815349743443,541.05,19.09587913660954,547.3340000000001,23.02521912068495,530.91,579.47,504.69,538.3566666666667,37.942083935036436,530.848,36.61801496531431,509.521,58.78085240960698,785.04,776.23,767.6,776.29,8.720154815138509,767.574,14.029290074697453,756.659,31.075042308007333,688.7024999999999,699.36,669.0175,685.6933333333333,15.393444695172548,672.4441,23.312360207087494,657.3769,43.38706148521956,0.8598798066778892,0.8661070803257973,0.8614605843957464,0.8624824904664776,0.003236966679553837,0.8952458121582352,0.046384537314747856,0.9094769572184456,0.05709087139352659,maintenance_mode,1,0
evening,22.26,47.01,457.36,587.65,454.46,717.41,678.0,611.17,medium,1374,off,very_bright,Low Activity,22-24,1046.4426,1045.01,0.7782863936385835,2461.04,615.26,115.82213116096018,1034,0,0,1000-2000,16.04,16.56,16.17,16.256666666666668,0.27061657993054955,16.796,0.794751533499613,18.762,2.552975605924279,45.19,47.32,48.19,46.9,1.543470116328806,47.348,1.3048639775854112,47.287,1.16948279166476,518.1800000000001,525.12,531.4,524.9000000000001,6.6127452695534625,533.4060000000001,19.064830972237786,547.1419999999999,23.284097482091834,593.08,530.91,579.47,567.82,32.68132647246783,539.126,45.98728769997187,508.05699999999996,56.188499624033376,788.65,785.04,776.23,783.3066666666667,6.388852270425045,773.26,15.935396135647384,755.915,30.099850959394775,714.9825,688.7024999999999,699.36,701.015,13.217937386369933,682.1575,29.475775276063537,656.6646499999999,42.24996930968642,0.8365027591184213,0.8598798066778892,0.8661070803257973,0.8541632153740361,0.015608123546373285,0.876937397416901,0.048231425128340825,0.9088636686312574,0.05791566637726066,eco_mode,1,0
night,19.88,51.06,572.39,586.56,463.11,713.34,609.252,562.66,medium,1374,cooling_active,,Low Activity,18-20,1015.0728,1158.9499999999998,0.9758421969178905,2348.362,587.0905,103.91997248363762,1035,0,1,1000-2000,22.26,16.04,16.56,18.286666666666665,3.4508163285421767,17.664,2.614924473096687,18.723999999999997,2.4909132640236367,47.01,45.19,47.32,46.50666666666667,1.1507533764162545,47.042,1.1220383237661804,47.403999999999996,1.062242910072834,457.36,518.1800000000001,525.12,500.22,37.27969420475441,511.58600000000007,30.67464881624553,535.8610000000001,35.177726365162066,454.46,593.08,530.91,526.15,69.43248015158335,532.5219999999999,56.4408555037925,506.90600000000006,57.2542111406081,717.41,788.65,785.04,763.6999999999999,40.12893096009394,766.9860000000001,28.89153907288437,754.548,31.624849863499577,615.26,714.9825,688.7024999999999,672.9816666666666,51.68658145092729,677.4645,38.581269799930105,656.0759,42.83683512521022,0.7782863936385835,0.8365027591184213,0.8598798066778892,0.8248896531449647,0.04201808462571497,0.8404473248312876,0.03659625133018093,0.8902005159769937,0.06717575014262712,off,1,0
morning,16.93,47.2,531.2,610.12,535.96,779.04,740.72,679.87,extremely low,1374,eco_mode,,Moderate Activity,16-18,799.096,1141.3200000000002,0.8706483956096369,2735.59,683.8975,106.74364379983784,1117,1,1,1000-2000,19.88,22.26,16.04,19.393333333333334,3.1384284814749708,18.182,2.7740079307745296,18.476,2.194504246723822,51.06,47.01,45.19,47.75333333333333,3.0047684325640396,47.754000000000005,2.1468418665565543,47.843,1.5295464106140195,572.39,457.36,518.1800000000001,515.9766666666667,57.546643979760724,520.8900000000001,41.303777066994655,535.408,34.614907129090376,463.11,454.46,593.08,503.54999999999995,77.6557872923841,524.206,64.10910021206023,509.541,54.191633517853404,713.34,717.41,788.65,739.8000000000001,42.354257165012235,756.134,37.508568754352666,753.625,32.775613647954785,587.0905,615.26,714.9825,639.111,67.19928248686907,661.0790999999999,56.36434803734532,653.28535,46.55761726437588,0.9758421969178905,0.7782863936385835,0.8365027591184213,0.8635437832249652,0.10151594254540061,0.8633236473357163,0.07181700024868441,0.8894399529238581,0.0660360882153109,cooling_active,1,0
morning,16.5,46.84,534.5,608.59,558.21,772.68,740.22,687.05,low,1374,maintenance_mode,dim,Moderate Activity,16-18,772.86,1143.0900000000001,0.8782595821846241,2758.16,689.54,94.40072563280431,1225,1,1,1000-2000,16.93,19.88,22.26,19.69,2.6700749053163193,18.333999999999996,2.6544453281241243,18.41,2.233686539234088,47.2,51.06,47.01,48.42333333333334,2.285395662316114,47.556,2.14222547832856,47.836,1.5326172240828966,531.2,572.39,457.36,520.3166666666667,58.28216222253024,520.85,41.29114917267372,535.671,34.56713836065173,535.96,463.11,454.46,484.51,44.76642156795642,515.504,57.326542107473905,512.932,54.72908830472755,779.04,713.34,717.41,736.5966666666667,36.81329424723254,756.6959999999999,37.90391576077596,753.4889999999999,32.65476703331383,683.8975,587.0905,615.26,628.7493333333333,49.79327663031802,657.9866,54.118373061281076,654.2951,47.157610956828115,0.8706483956096369,0.9758421969178905,0.7782863936385835,0.8749256620553703,0.09884733232879334,0.8642319103924843,0.07188968254910216,0.8909008668630876,0.0653733363174396,eco_mode,1,0
morning,18.12,54.4,566.34,585.49,496.58,747.27,698.56,619.98,low,1374,cooling_active,,Moderate Activity,18-20,985.7280000000001,1151.83,0.9672923517612729,2562.39,640.5975,109.39956623162024,1235,1,1,1000-2000,16.5,16.93,19.88,17.77,1.8399184764548613,18.321999999999996,2.6645862718253257,17.929,2.050167743814584,46.84,47.2,51.06,48.366666666666674,2.339430130038789,47.459999999999994,2.166067865972815,47.618,1.5001910989381768,534.5,531.2,572.39,546.0300000000001,22.88798156238324,522.726,41.744247268336196,531.888,32.09077672963223,558.21,535.96,463.11,519.0933333333334,49.74299783219088,520.964,60.37948600311186,525.906,47.364401822465766,772.68,779.04,713.34,755.02,36.23574478329358,754.2239999999999,35.94572060760501,760.899,26.66920714981987,689.54,683.8975,587.0905,653.5093333333334,57.589543474343984,658.1541,54.238370801260196,665.2991,40.071572456737385,0.8782595821846241,0.8706483956096369,0.9758421969178905,0.9082500582373839,0.05866008394831577,0.8679078654938313,0.07208116495949643,0.8815768388260332,0.058932434848778685,maintenance_mode,1,0
night,18.91,51.62,573.16,594.01,484.33,727.0,670.41,591.99,low,1374,heating_active,dim,Moderate Activity,18-20,976.1342,1167.17,0.9648995791907551,2473.7299999999996,618.4324999999999,105.15266500823141,1251,0,1,1000-2000,18.12,16.5,16.93,17.183333333333334,0.8391861136442419,18.738,2.3647452294063283,17.767,1.952861433327461,54.4,46.84,47.2,49.48,4.2646453545400345,49.30200000000001,3.347136089256016,48.325,2.6070257638414995,566.34,534.5,531.2,544.0133333333333,19.405734547636428,532.358,45.792921068654216,532.882,33.07329127189416,496.58,558.21,535.96,530.25,31.209250231301954,501.66400000000004,45.039264314595286,520.395,47.2369528723717,747.27,772.68,779.04,766.3299999999999,16.80997025577354,745.9480000000001,30.369092347319153,759.604,27.01797311256183,640.5975,689.54,683.8975,671.3449999999999,26.77715479191199,643.2771,43.98677352540188,662.7173,40.816451004738546,0.9672923517612729,0.8782595821846241,0.8706483956096369,0.9054001098518446,0.053735181647605976,0.8940657840224017,0.08101325395132639,0.8855015907196513,0.06350076536025205,cooling_active,1,0
evening,21.48,49.07,570.28,582.69,449.98,701.29,640.61,567.86,low,1374,heating_active,moderate,Low Activity,20-22,1054.0236,1152.97,0.9787022242037751,2359.7400000000002,589.9350000000001,108.07805713156269,1698,0,1,1000-2000,18.91,18.12,16.5,17.843333333333334,1.2285899777115687,18.068,1.3918225461602436,17.866,1.986287435840489,51.62,54.4,46.84,50.953333333333326,3.823837513981623,50.224000000000004,3.189150357070056,48.632999999999996,2.809337802559335,573.16,566.34,534.5,558.0,20.635299852437203,555.518,20.89343006784664,533.552,33.88695186449589,484.33,496.58,558.21,513.04,39.5949782169407,507.63800000000003,38.755476645243014,520.0799999999999,47.4906566249264,727.0,747.27,772.68,748.9833333333332,22.888146131421852,747.866,28.351996049661096,757.4259999999999,28.806177655341795,618.4324999999999,640.5975,689.54,649.5233333333332,36.384364974303985,643.9116,43.50180538265047,660.68805,42.60696154610967,0.9648995791907551,0.9672923517612729,0.8782595821846241,0.9368171710455507,0.05072646991509992,0.9313884211328359,0.052202136831374674,0.8859178729820616,0.0640599565477114,heating_active,0,1
morning,16.91,48.16,535.95,607.8,523.75,769.38,733.25,685.38,extremely low,1374,maintenance_mode,bright,Low Activity,16-18,814.3856,1143.75,0.8817867705136777,2711.76,677.94,108.39800028905823,1701,1,1,1000-2000,21.48,18.91,18.12,19.503333333333334,1.7568247873175278,18.387999999999998,1.9745303238998346,18.285000000000004,2.2725817428153783,49.07,51.62,54.4,51.69666666666666,2.6658269511228867,49.826,3.1829043340948937,48.79,2.782728477192449,570.28,573.16,566.34,569.9266666666666,3.423701700400924,555.096,20.484771905002933,537.993,35.63337637976813,449.98,484.33,496.58,476.9633333333333,24.157624745270596,505.012,42.76438553282364,514.609,52.36209580093855,701.29,727.0,747.27,725.1866666666666,23.043572495021646,745.4559999999999,32.26290950921815,750.795,33.460094723250386,589.9350000000001,618.4324999999999,640.5975,616.3216666666666,25.397124632197354,644.4805,42.58182121662947,652.7798,47.89965056251573,0.9787022242037751,0.9648995791907551,0.9672923517612729,0.9702980517186011,0.007375901742428719,0.9319604265900129,0.052822992596308765,0.8976420369628645,0.06957754982128814,heating_active,1,0
morning,17.82,52.65,557.1,587.58,488.87,759.74,873.17,665.93,low,1374,off,moderate,Moderate Activity,16-18,938.223,1144.68,0.9481262109872252,2787.71,696.9275,162.53778768335687,1715,1,0,1000-2000,16.91,21.48,18.91,19.099999999999998,2.290916847028708,18.383999999999997,1.9782391159816815,18.359,2.207167365148774,48.16,49.07,51.62,49.61666666666667,1.7936090246576148,50.018,3.0091061795822474,48.787,2.7834632704201088,535.95,570.28,573.16,559.7966666666667,20.70196206482191,556.046,19.16729975766011,538.4480000000001,35.56882773815665,523.75,449.98,484.33,486.02,36.914025789664066,502.57,40.86161952248068,509.037,47.42507354882131,769.38,701.29,727.0,732.5566666666667,34.383417999572394,743.524,29.955762884627028,750.1099999999999,32.94772323949965,677.94,589.9350000000001,618.4324999999999,628.7691666666666,44.90384186885754,643.289,41.26616617308901,650.6378,46.02756143889348,0.8817867705136777,0.9787022242037751,0.9648995791907551,0.941796191302736,0.05242591143621199,0.9341881015708209,0.04973553088423294,0.8992100059816526,0.06896188131282602,maintenance_mode,1,0
